iter	Logloss
0	0.6628542197
1	0.6384745495
2	0.6201535759
3	0.607251329
4	0.5924862327
5	0.5791766492
6	0.5684146787
7	0.5586818379
8	0.5498607823
9	0.5423857066
10	0.5353768232
11	0.5288581206
12	0.5227102851
13	0.5171777207
14	0.5124020681
15	0.508685799
16	0.5054717299
17	0.5016706884
18	0.4992941831
19	0.4959616229
20	0.4932772114
21	0.4911729196
22	0.4889571033
23	0.4861974731
24	0.4834707914
25	0.4810026124
26	0.4789832127
27	0.4769956389
28	0.4749490122
29	0.4730652886
30	0.4711586724
31	0.4696808356
32	0.4685550231
33	0.4675473799
34	0.4663699857
35	0.4644864297
36	0.4637320885
37	0.4627062786
38	0.4616908753
39	0.4604017889
40	0.4595007894
41	0.4581148991
42	0.4571980599
43	0.4565247256
44	0.4556164869
45	0.4543502338
46	0.4536307752
47	0.4529654074
48	0.4523983309
49	0.4516779025
50	0.4512419164
51	0.4497864415
52	0.4493256396
53	0.4485270021
54	0.4482229955
55	0.4475723475
56	0.4471569066
57	0.4468416323
58	0.4464316779
59	0.4453537434
60	0.4446754925
61	0.4441466927
62	0.4438552364
63	0.443407709
64	0.4428922175
65	0.4423825898
66	0.4420220783
67	0.4417798638
68	0.4415944302
69	0.4410079542
70	0.4406913396
71	0.4400868341
72	0.4397220434
73	0.4391241661
74	0.4388192939
75	0.4385640149
76	0.4382461969
77	0.4380509361
78	0.4375910468
79	0.4373178856
80	0.4368542129
81	0.43662819
82	0.4362854178
83	0.4359064292
84	0.4355039225
85	0.4351717392
86	0.434971325
87	0.4347730767
88	0.434517613
89	0.4341520625
90	0.4336977676
91	0.4333772655
92	0.4331320393
93	0.4328303581
94	0.4325334599
95	0.4322964009
96	0.4318622672
97	0.43171534
98	0.4314898078
99	0.4311433808
100	0.4308366113
101	0.4305264927
102	0.4302768176
103	0.4299725399
104	0.4298058299
105	0.4295787883
106	0.4291348519
107	0.4286679316
108	0.4284293892
109	0.4282205678
110	0.4279935692
111	0.4277918885
112	0.4275713699
113	0.427300893
114	0.4268376928
115	0.4265136554
116	0.4263124774
117	0.4259924302
118	0.4256933554
119	0.4254726339
120	0.4251756948
121	0.4250699215
122	0.4245430727
123	0.4243256323
124	0.4241653141
125	0.4238497958
126	0.4236179482
127	0.4233732516
128	0.4231893786
129	0.4226972007
130	0.4222742563
131	0.422061043
132	0.4218086812
133	0.4216847539
134	0.4214474558
135	0.4209082644
136	0.4207294087
137	0.4204195807
138	0.4199547359
139	0.4196852372
140	0.4194774507
141	0.4190980412
142	0.418825987
143	0.4186206789
144	0.4184719393
145	0.4181772911
146	0.4179410681
147	0.4177610031
148	0.417538014
149	0.4173979207
150	0.4171785164
151	0.4169786288
152	0.4167211066
153	0.4166147667
154	0.4164154944
155	0.4158591974
156	0.4155035024
157	0.415353103
158	0.4150569713
159	0.4142624354
160	0.4140249424
161	0.4138405454
162	0.4136365169
163	0.4133768218
164	0.4130908458
165	0.4127676423
166	0.4126232342
167	0.412318078
168	0.4120532591
169	0.411845254
170	0.4116615464
171	0.4114129398
172	0.4112074439
173	0.4110243253
174	0.41043161
175	0.4099828404
176	0.4096259252
177	0.4094095983
178	0.4090502187
179	0.4086667707
180	0.4085085617
181	0.4083365244
182	0.4081300633
183	0.407875326
184	0.4076506919
185	0.4074616471
186	0.4073075091
187	0.4072078558
188	0.4070190741
189	0.4068793745
190	0.4067143157
191	0.4065654653
192	0.4063501219
193	0.4062506447
194	0.4060209963
195	0.4058389353
196	0.4055536273
197	0.4054465904
198	0.4052739109
199	0.4051537372
200	0.4049907836
201	0.404652918
202	0.4042839318
203	0.4040677841
204	0.4038391553
205	0.4037108684
206	0.40353273
207	0.4032920803
208	0.4030709831
209	0.4028822553
210	0.4027203977
211	0.4021641354
212	0.4019283273
213	0.4017202757
214	0.4015902163
215	0.4014500212
216	0.4013008412
217	0.4010955007
218	0.4008702742
219	0.400586435
220	0.4003232143
221	0.4001610546
222	0.3999879992
223	0.3998044711
224	0.3995938449
225	0.3994675404
226	0.3991603301
227	0.3989927356
228	0.3988271728
229	0.3986693863
230	0.3985639953
231	0.3984378082
232	0.3982564042
233	0.3981259136
234	0.3979162746
235	0.3977718086
236	0.3975329098
237	0.397321097
238	0.3971110631
239	0.3968569518
240	0.3966529711
241	0.3965157269
242	0.3963794473
243	0.3962833463
244	0.396075042
245	0.3959434242
246	0.39568281
247	0.3955005805
248	0.3953461636
249	0.3952015001
250	0.3949419661
251	0.3947545852
252	0.3945929281
253	0.3943968818
254	0.3942072291
255	0.394035227
256	0.3938063518
257	0.3935836788
258	0.3934562629
259	0.3932548556
260	0.3930891134
261	0.3927030631
262	0.3925789327
263	0.3923254806
264	0.3921590745
265	0.3920005292
266	0.3918970945
267	0.3917545689
268	0.3915491744
269	0.3913692137
270	0.3912780932
271	0.3910916202
